# rau, sigma_d, hdust
2.724513e+02 3.326341e-03 1.223361e+01
2.770215e+02 2.816574e-03 1.249065e+01
2.816683e+02 2.384930e-03 1.275310e+01
2.863931e+02 2.019436e-03 1.302107e+01
2.911972e+02 1.709955e-03 1.329466e+01
2.960818e+02 1.447902e-03 1.357400e+01
3.010483e+02 1.226009e-03 1.385921e+01
3.060982e+02 1.038121e-03 1.415042e+01
3.112328e+02 8.790279e-04 1.444774e+01
3.164535e+02 7.443156e-04 1.475131e+01
3.217618e+02 6.302482e-04 1.506126e+01
3.271591e+02 5.336618e-04 1.537772e+01
3.326469e+02 4.518774e-04 1.570083e+01
3.382269e+02 3.826266e-04 1.603073e+01
3.439004e+02 3.239885e-04 1.636756e+01
3.496690e+02 2.743368e-04 1.671147e+01
3.555345e+02 2.322943e-04 1.706261e+01
3.614983e+02 1.966949e-04 1.742112e+01
3.675622e+02 1.665511e-04 1.778717e+01
3.737278e+02 1.410269e-04 1.816090e+01
3.799968e+02 1.194144e-04 1.854249e+01
3.863710e+02 1.011139e-04 1.893210e+01
3.928521e+02 8.561809e-05 1.932989e+01
3.994419e+02 7.249700e-05 1.973605e+01
4.061422e+02 6.138673e-05 2.015073e+01
4.129550e+02 5.197913e-05 2.057413e+01
4.198820e+02 4.401326e-05 2.100643e+01
4.269252e+02 3.726816e-05 2.144781e+01
4.340866e+02 3.155677e-05 2.189846e+01
4.413681e+02 2.672065e-05 2.235858e+01
4.487717e+02 2.262567e-05 2.282837e+01
4.562995e+02 1.915826e-05 2.330803e+01
4.639536e+02 1.622223e-05 2.379777e+01
4.717361e+02 1.373615e-05 2.429780e+01
4.796491e+02 1.163106e-05 2.480834e+01
4.876949e+02 9.848587e-06 2.532960e+01
4.958756e+02 8.339278e-06 2.586181e+01
